State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
-o- --o x-x,  7.190000,     -    ,  7.190000,  7.190000,  7.190000,     -    ,     -    ,  9.000000,     -    
-o- --o xx-,  7.190000,     -    ,  7.190000,  7.190000,  7.190000,     -    ,     -    ,     -    ,  9.000000
-o- --x ---, -0.778051,     -    ,  5.723900, -6.151510,  5.723900,     -    , -0.778051, -0.778051, -6.151510
-o- --x -ox, -9.100000,     -    ,  9.000000, -9.100000,  7.190000,     -    , -9.100000,     -    ,     -    
-o- --x -xo, -0.837100,     -    , -0.837100, -0.837100, -0.837100,     -    , -7.471000,     -    ,     -    
-o- --x o-x,  7.190000,     -    ,  9.000000,  7.190000,  7.190000,     -    ,     -    , -7.471000,     -    
-o- --x ox-, -0.837100,     -    , -0.837100, -0.837100, -0.837100,     -    ,     -    ,     -    , -7.471000
-o- --x x-o, -0.837100,     -    , -7.471000,  7.190000,  7.190000,     -    ,     -    , -7.471000,     -    
-o- --x xo-, -9.100000,     -    , -9.100000, -9.100000,  7.190000,     -    ,     -    ,     -    , -9.100000
-o- -o- -xx, -0.837100,     -    ,  7.190000, -0.837100,     -    ,  7.190000,  9.000000,     -    ,     -    
-o- -o- x-x, -9.100000,     -    , -9.100000, -9.100000,     -    , -9.100000,     -    ,  9.000000,     -    
-o- -o- xx-,  7.190000,     -    , -0.837100,  7.190000,     -    , -0.837100,     -    ,     -    ,  9.000000
-o- -ox --x, -9.100000,     -    ,  9.000000, -9.100000,     -    ,     -    , -9.100000,  7.190000,     -    
-o- -ox -x-, -0.837100,     -    , -0.837100, -7.471000,     -    ,     -    , -0.837100,     -    ,  7.190000
-o- -ox oxx, -9.100000,     -    ,  9.000000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
-o- -ox x--, -9.100000,     -    , -9.100000, -9.100000,     -    ,     -    ,     -    , -0.837100, -9.100000
-o- -ox xxo, -0.910000,     -    , -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
-o- -x- ---,  5.723900,     -    ,  5.723900,  5.723900,     -    ,  5.723900,  5.723900, -0.778051,  5.723900
-o- -x- -ox,  9.000000,     -    ,  7.190000,  7.190000,     -    ,  7.190000,  7.190000,     -    ,     -    
-o- -x- -xo, -0.837100,     -    , -0.837100, -0.837100,     -    , -0.837100, -7.471000,     -    ,     -    
-o- -x- o-x,  9.000000,     -    ,  7.190000,  7.190000,     -    ,  7.190000,     -    , -7.471000,     -    
-o- -x- ox-, -0.837100,     -    , -0.837100, -0.837100,     -    , -0.837100,     -    ,     -    , -7.471000
