State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
oxo -ox xx-,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,     -    ,  9.000000
oxo -x- --x,     -    ,     -    ,     -    , -9.100000,     -    , -9.100000, -9.100000, -0.181000,     -    
oxo -x- x--,     -    ,     -    ,     -    , -9.100000,     -    , -9.100000,     -    , -0.181000, -9.100000
oxo -x- xox,     -    ,     -    ,     -    , -0.100000,     -    , -0.100000,     -    ,     -    ,     -    
oxo -xo x-x,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    , -0.100000,     -    
oxo -xx ---,     -    ,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000, -9.100000, -9.100000
oxo -xx -ox,     -    ,     -    ,     -    , -0.100000,     -    ,     -    , -9.100000,     -    ,     -    
oxo -xx o-x,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    , -9.100000,     -    
oxo -xx x-o,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    , -9.100000,     -    
oxo -xx xo-,     -    ,     -    ,     -    , -0.100000,     -    ,     -    ,     -    ,     -    , -9.100000
oxo o-x -xx,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,  9.000000,     -    ,     -    
oxo o-x x-x,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    , -0.100000,     -    
oxo o-x xx-,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    , -9.100000
oxo ox- x-x,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    , -0.100000,     -    
oxo oxx --x,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000, -0.100000,     -    
oxo oxx x--,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,     -    , -0.100000, -9.100000
oxo x-- --x,     -    ,     -    ,     -    ,     -    , -0.181000, -7.471000, -7.471000, -0.181000,     -    
oxo x-- -x-,     -    ,     -    ,     -    ,     -    ,  7.190000, -9.100000, -9.100000,     -    , -9.100000
oxo x-- oxx,     -    ,     -    ,     -    ,     -    ,  9.000000, -9.100000,     -    ,     -    ,     -    
oxo x-- x--,     -    ,     -    ,     -    ,     -    , -0.181000, -0.181000,     -    , -0.181000,  7.190000
oxo x-- xox,     -    ,     -    ,     -    ,     -    , -0.100000, -0.100000,     -    ,     -    ,     -    
oxo x-- xxo,     -    ,     -    ,     -    ,     -    ,  9.000000,  9.000000,     -    ,     -    ,     -    
oxo x-o -xx,     -    ,     -    ,     -    ,     -    , -9.100000,     -    , -9.100000,     -    ,     -    
oxo x-o x-x,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    , -0.100000,     -    
oxo x-o xx-,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,  9.000000
oxo x-x ---,     -    ,     -    ,     -    ,     -    ,  7.190000,     -    , -9.100000, -9.100000, -9.100000
oxo x-x -ox,     -    ,     -    ,     -    ,     -    , -0.100000,     -    , -9.100000,     -    ,     -    
oxo x-x -xo,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    , -9.100000,     -    ,     -    
oxo x-x o-x,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    , -9.100000,     -    
oxo x-x ox-,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    , -9.100000
oxo x-x x-o,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    , -9.100000,     -    
oxo x-x xo-,     -    ,     -    ,     -    ,     -    , -0.100000,     -    ,     -    ,     -    , -9.100000
oxo xo- -xx,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,  9.000000,     -    ,     -    
oxo xo- x-x,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    , -0.100000,     -    
oxo xo- xx-,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,  9.000000
oxo xox --x,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000, -0.100000,     -    
oxo xox -x-,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    ,  9.000000
oxo xox x--,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,     -    , -0.100000,  9.000000
oxo xx- ---,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000, -9.100000, -9.100000, -9.100000
oxo xx- -ox,     -    ,     -    ,     -    ,     -    ,     -    , -0.100000, -9.100000,     -    ,     -    
oxo xx- o-x,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    , -9.100000,     -    
oxo xx- x-o,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    , -9.100000,     -    
oxo xx- xo-,     -    ,     -    ,     -    ,     -    ,     -    , -0.100000,     -    ,     -    , -9.100000
oxo xxo --x,     -    ,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000, -0.100000,     -    
oxo xxo x--,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,     -    , -0.100000,  9.000000
oxx --- ---,     -    ,     -    ,     -    ,  5.723900, -0.246610, -7.471000,  5.723900, -0.246610, -7.471000
oxx --- -ox,     -    ,     -    ,     -    , -9.100000, -9.100000, -0.181000, -9.100000,     -    ,     -    
oxx --- -xo,     -    ,     -    ,     -    , -9.100000,  9.000000, -9.100000, -9.100000,     -    ,     -    
oxx --- o-x,     -    ,     -    ,     -    ,  9.000000, -9.100000, -0.181000,     -    , -9.100000,     -    
oxx --- ox-,     -    ,     -    ,     -    ,  9.000000,  7.190000, -9.100000,     -    ,     -    , -9.100000
